date,ticker,adj_close,industry,label,forward_return,split,str_rev_1m,str_rev_1w,str_rev_1m_volnorm,str_rev_1m_ind_rank,fold,predicted_up_probability,model_says_up,model_was_right
2022-06-27,PFE,41.51780319213867,Pharma,1.0,0.00134936436264943,validation,0.03407182875352932,-0.11497953037783715,0.35793945195786175,1.0,6,0.4918653007261976,0,0
2022-06-27,SCHW,60.624542236328125,Financials,0.0,-0.025565051383180326,validation,0.02507605608642538,-0.0693449656841032,0.22274143958589507,0.125,6,0.5139824935075903,1,0
2022-06-27,C,41.568546295166016,Financials,1.0,0.09450144054136267,validation,0.09240983603826602,-0.02815994954753931,0.8875881372183464,0.875,6,0.5071878172142874,1,1
2022-06-28,ABBV,131.83021545410156,Pharma,0.0,-0.008782788604829506,validation,-0.012751493287182392,-0.06287040611531314,-0.1688351304326824,0.375,6,0.5025283606184372,1,0
2022-06-28,GILD,54.23036193847656,Pharma,0.0,-0.029094979489544426,validation,0.022997437597052306,-0.028094439249149783,0.33278635934241363,0.75,6,0.49996498144055096,0,1
2022-06-28,MS,68.53938293457031,Financials,1.0,0.07134750301494042,validation,0.0804704551958838,-0.0472998982730195,0.8175792753269012,0.375,6,0.5169040072452926,1,1
2022-06-28,PFE,40.541481018066406,Pharma,1.0,0.008953013942990085,validation,0.061678012983776065,-0.05300336201529099,0.6333134200856237,1.0,6,0.49852048969154533,0,0
2022-06-28,CRM,168.54409790039062,Technology,1.0,0.05733114750655144,validation,-0.05539822469382272,-0.02775276147285366,-0.276182759569963,0.125,6,0.5037145998035056,1,1
2022-06-28,WFC,36.273399353027344,Financials,1.0,0.07814832365708835,validation,0.11885967627209926,-0.03052052218465473,0.9279823946321549,0.75,6,0.5141593436352638,1,1
2022-06-28,GOOGL,111.02303314208984,Technology,1.0,0.0197531461459175,validation,-0.03910278198280537,-0.004155386718219578,-0.3104094588273784,0.25,6,0.5041099192698916,1,1
2022-06-28,JPM,104.19913482666016,Financials,1.0,4.810512309316728e-05,validation,0.10522240753517387,8.631818038051797e-05,1.2599312512347591,0.5,6,0.5193696225200866,1,1
2022-06-28,JNJ,157.65830993652344,Pharma,0.0,-0.015485620571228376,validation,0.01404252683799434,-0.022715372343089735,0.22967667093779967,0.625,6,0.5019488979659067,1,0
2022-06-28,AXP,134.85641479492188,Financials,1.0,0.07398095712240971,validation,0.14017034413422214,0.017753663939596986,1.1452634431767759,1.0,6,0.5131630351269291,1,1
2022-06-28,GS,272.4442138671875,Financials,1.0,0.09890145586893095,validation,0.06892417742880685,-0.05154289941176882,0.6501206724784031,0.25,6,0.5181194090835975,1,1
2022-06-28,MSFT,248.15293884277344,Technology,1.0,0.07770563903193217,validation,0.03542669048758107,-0.01079860353615869,0.332664116985946,0.5,6,0.5087223350750844,1,1
2022-06-28,NVDA,15.956329345703125,Technology,1.0,0.12526572753161958,validation,0.10451080479269126,0.03525277282119166,0.5504596608288129,0.875,6,0.511806847035635,1,1
2022-06-28,AMGN,214.92730712890625,Pharma,1.0,0.025625190089422656,validation,0.03770004624485812,-0.021391871141176244,0.7231775017844174,0.875,6,0.4992355740411431,0,0
2022-06-28,BAC,29.134553909301758,Financials,1.0,0.03285802843711494,validation,0.11519466891201169,0.017960419584142184,1.4295338069124697,0.625,6,0.5184820548511824,1,1
2022-06-28,AAPL,134.73529052734375,Technology,1.0,0.14486322328893775,validation,0.044095293718372286,-0.011555314014753293,0.37457554309228963,0.625,6,0.5069137826827933,1,1
2022-06-28,BMY,65.6964111328125,Pharma,0.0,-0.04423264072763078,validation,-0.014305890445973857,-0.029161586171140064,-0.22098880888424938,0.125,6,0.5098685607032515,1,0
2022-06-28,MRK,81.44960021972656,Pharma,0.0,-0.021221248656536185,validation,-0.0035972751482116205,-0.04384888845606061,-0.04738998882714267,0.5,6,0.5015834890278315,1,0
2022-06-28,LLY,307.2529296875,Pharma,1.0,0.041496359180871245,validation,-0.013271273378408832,-0.06820478123638285,-0.12668928236422228,0.25,6,0.5052848237041068,1,1
2022-06-28,SCHW,60.64344024658203,Financials,1.0,0.05501017341671677,validation,0.06756749781750471,-0.02869502224847964,0.6667315683330706,0.125,6,0.5219277233162684,1,1
2022-06-28,AMZN,107.4000015258789,Technology,1.0,0.13854745849172545,validation,0.03310749597332263,0.011777684723064175,0.20493362644218233,0.375,6,0.5124385942098184,1,1
2022-06-28,META,159.28125,Technology,1.0,0.0002489784125465633,validation,0.1615092174773295,-0.023113582581777203,0.922786952964879,1.0,6,0.5147920011999824,1,1
2022-06-28,C,41.02970504760742,Financials,1.0,0.10633347499477264,validation,0.12719558489151306,0.01563831045148323,1.281735261590865,0.875,6,0.5141227998830722,1,1
2022-06-28,AVGO,46.69804763793945,Technology,1.0,0.07053874354629563,validation,0.08730907963073697,0.01056039114571461,0.7709879893399317,0.75,6,0.511150070083128,1,1
2022-06-29,AVGO,45.9448127746582,Technology,1.0,0.09190257151247705,validation,0.15224971509162366,0.011469317947343294,1.6525893309680884,0.75,6,0.5206629908907834,1,1
2022-06-29,JNJ,157.702880859375,Pharma,0.0,-0.013955779927579681,validation,0.022640506321213505,-0.007112982657457856,0.37542383847237226,0.625,6,0.5038423661652157,1,0
2022-06-29,GS,275.8919677734375,Financials,1.0,0.09928147207189753,validation,0.07134534425519212,-0.06586083228235862,0.6758275443147328,0.125,6,0.5209507822063798,1,1
2022-06-29,META,162.5128936767578,Technology,0.0,-0.029523085655106418,validation,0.15984214842973166,-0.05190899678445349,0.911563104128606,0.875,6,0.5164180484670828,1,0
2022-06-29,C,40.934112548828125,Financials,1.0,0.11277658203170149,validation,0.12159639674359846,0.0021184901946944557,1.2248374301644274,0.5,6,0.5219499771570618,1,1
2022-06-29,SCHW,60.12367248535156,Financials,1.0,0.085350477696297,validation,0.09873917744895155,-0.018898125444041014,1.0199889461720477,0.375,6,0.5207692036214749,1,1
2022-06-29,CRM,167.70855712890625,Technology,1.0,0.07860031727927375,validation,-0.03337377779303008,-0.018871223282545868,-0.16662918398830465,0.125,6,0.5073808681669104,1,1
2022-06-29,BMY,65.34579467773438,Pharma,0.0,-0.05093903050132842,validation,-0.028106053681275167,-0.022599375957977674,-0.4545435529584346,0.125,6,0.5081463993699197,1,0
2022-06-29,AXP,132.2766876220703,Financials,1.0,0.10845627782581047,validation,0.17765364368584913,0.034074372691564214,1.5048764053703692,1.0,6,0.519373924067797,1,1
2022-06-29,JPM,103.73129272460938,Financials,1.0,0.009370586104951784,validation,0.12165775755169828,-0.001041589896010997,1.501116823834653,0.625,6,0.5186410067883389,1,1
2022-06-29,NVDA,15.517033576965332,Technology,1.0,0.16864031609038754,validation,0.1736068306438342,0.04999998248394688,0.959746362450249,1.0,6,0.5196527121660544,1,1
2022-06-29,MSFT,251.81016540527344,Technology,1.0,0.07869066453706686,validation,0.047504021489500836,-0.02816710023479585,0.4587833186504607,0.375,6,0.5128522964674083,1,1
2022-06-29,ABBV,133.25665283203125,Pharma,0.0,-0.06025426457568139,validation,-0.02760025067817473,-0.04459197095130074,-0.3630677503593775,0.25,6,0.5041934501505101,1,0
2022-06-29,GOOGL,110.7197265625,Technology,1.0,0.04134684503911723,validation,0.005475476377546751,-0.00191950638384486,0.04605864280784783,0.25,6,0.510817331335122,1,1
2022-06-29,LLY,312.4573974609375,Pharma,1.0,0.02071190564651193,validation,0.0014836426279111192,-0.05318095786701771,0.014677138820388057,0.5,6,0.5019397270666931,1,1
2022-06-29,WFC,35.84910202026367,Financials,1.0,0.10475963772556618,validation,0.13466964255870606,-0.028756517011938154,1.0555711482397816,0.875,6,0.5135036569449003,1,1
2022-06-29,AMZN,108.91999816894531,Technology,1.0,0.2389827324356164,validation,0.05407460482642945,0.000275344471199257,0.343182811238159,0.5,6,0.5120082628676933,1,1
2022-06-29,AMGN,216.62193298339844,Pharma,1.0,0.008311887372517202,validation,0.03850963773781957,-0.022028800457980724,0.7411649466491002,0.875,6,0.4993243333181456,0,0
2022-06-29,AAPL,136.49009704589844,Technology,1.0,0.16720508573769854,validation,0.06956694316795442,-0.028666572060933815,0.6311985239911664,0.625,6,0.5099579679666313,1,1
2022-06-29,PFE,40.76555633544922,Pharma,0.0,-0.0007473017689885175,validation,0.05509187490737877,-0.03810903789396414,0.5636493284532522,1.0,6,0.49817071045831607,0,1
2022-06-29,MS,68.56568145751953,Financials,1.0,0.088365792478303,validation,0.09554683389496998,-0.05094062674459199,0.9941862914146594,0.25,6,0.5220338818197341,1,1
2022-06-29,BAC,28.77330780029297,Financials,1.0,0.06120532962115943,validation,0.13442732890430342,0.022699378752821797,1.697102236781366,0.75,6,0.5184103500784948,1,1
2022-06-29,GILD,54.46574020385742,Pharma,0.0,-0.043694061584969246,validation,0.023754013257595963,-0.015769979384899324,0.344073027714093,0.75,6,0.5005884893736996,1,0
2022-06-29,MRK,81.9991455078125,Pharma,0.0,-0.034266759163184446,validation,-0.00201021234860721,-0.037572874300459747,-0.026538460383646684,0.375,6,0.5051524055352897,1,0
2022-06-30,NVDA,15.134651184082031,Technology,1.0,0.21650487541393004,validation,0.18797116207929476,0.06570093541576105,1.0349756596408395,1.0,6,0.5224503681788889,1,1
2022-06-30,WFC,35.361602783203125,Financials,1.0,0.11156512868841628,validation,0.1441993063918946,-0.033509044204216965,1.1291890970944019,0.625,6,0.5208633065380918,1,1
2022-06-30,GOOGL,108.00528717041016,Technology,1.0,0.0541193570232803,validation,0.04218469647780432,0.029213692570884908,0.3500297011080427,0.25,6,0.5175524236392383,1,1
2022-06-30,MRK,80.81140899658203,Pharma,0.0,-0.02895720617784192,validation,0.0012367484002466789,0.009021531472025224,0.016203990825034514,0.5,6,0.504492838807537,1,0
2022-06-30,AMGN,214.74195861816406,Pharma,1.0,0.009617695997869546,validation,0.05234868335907161,-0.000863938811398457,1.011574482142295,1.0,6,0.4991169684811956,0,0
2022-06-30,LLY,313.6472473144531,Pharma,0.0,-0.0002468476811642306,validation,-0.03442461500679639,-0.03680626409927745,-0.35989068970247196,0.25,6,0.5034806743262142,1,0
