date,ticker,adj_close,industry,label,forward_return,split,mom_12_1,mom_12_1_xs_rank,fold,predicted_up_probability,model_says_up,model_was_right
2021-09-09,C,59.7053108215332,Financials,1.0,0.026823689577966547,validation,0.4706771089050419,0.5833333333333334,3,0.4895365495581372,0,0
2021-09-09,LLY,229.67904663085938,Pharma,0.0,-0.02524998594894079,validation,0.7975082502369482,0.8333333333333334,3,0.46875982517295617,0,1
2021-09-09,JNJ,146.88754272460938,Pharma,0.0,-0.04248234702363973,validation,0.18348072363339396,0.2916666666666667,3,0.5113218331637694,1,0
2021-09-09,BMY,51.80604553222656,Pharma,0.0,-0.09206360169665007,validation,0.17588701213974867,0.25,3,0.5135461634871274,1,0
2021-09-09,JPM,140.4702911376953,Financials,1.0,0.07573153668081667,validation,0.6237473903644537,0.6666666666666666,3,0.4814342953783298,0,0
2021-09-09,AMZN,174.20799255371094,Technology,0.0,-0.05612252718449284,validation,0.01593032161373875,0.16666666666666666,3,0.5218275501817213,1,0
2021-09-09,ABBV,89.920654296875,Pharma,1.0,0.03645003258080726,validation,0.31512671663033864,0.375,3,0.5037827880576777,1,1
2021-09-09,BAC,36.398868560791016,Financials,1.0,0.08331327236265484,validation,0.649221778363233,0.7083333333333334,3,0.4787385243201592,0,0
2021-09-09,CRM,256.3057556152344,Technology,1.0,0.04502581195712119,validation,-0.0281115762909091,0.125,3,0.5250131657980447,1,1
2021-09-09,AVGO,44.92648696899414,Technology,1.0,0.006022224790270814,validation,0.38463919617505105,0.5,3,0.4958661040403752,0,0
2021-09-09,MSFT,285.8160095214844,Technology,0.0,-0.008074212713543027,validation,0.36549812209021004,0.4583333333333333,3,0.49839806159495637,0,1
2021-09-09,NVDA,22.130216598510742,Technology,0.0,-0.060693428640649416,validation,0.569276020384017,0.625,3,0.48489966034603,0,1
2021-09-09,GOOGL,142.27938842773438,Technology,0.0,-0.02616323027850953,validation,0.7684117839317348,0.7916666666666666,3,0.4715460033590161,0,1
2021-09-10,BAC,35.811946868896484,Financials,1.0,0.08716125364525595,validation,0.6944989461709485,0.75,3,0.47551988269183953,0,0
2021-09-10,JPM,138.85546875,Financials,1.0,0.06535427567727226,validation,0.6602358338221821,0.6666666666666666,3,0.48046771181949793,0,0
2021-09-10,BMY,51.43938064575195,Pharma,0.0,-0.0830362953088819,validation,0.18280253294935034,0.25,3,0.5133628369547705,1,0
2021-09-10,MSFT,284.3352355957031,Technology,0.0,-0.005004885105306944,validation,0.4073610986125886,0.5,3,0.4952633703269831,0,1
2021-09-10,META,375.3934631347656,Technology,0.0,-0.14058995554225207,validation,0.3426836859873552,0.4166666666666667,3,0.5010275502432248,1,0
2021-09-10,AAPL,145.4263458251953,Technology,0.0,-0.04135033236414554,validation,0.29348952841172404,0.3333333333333333,3,0.5063807786021168,1,0
2021-09-10,GS,360.7675476074219,Financials,0.0,-0.04520670624890932,validation,1.0958537153606844,0.875,3,0.45887324625908954,0,1
2021-09-10,NVDA,22.430583953857422,Technology,0.0,-0.07932203897148371,validation,0.601408427611466,0.625,3,0.4840480533726946,0,1
2021-09-10,GOOGL,139.63783264160156,Technology,0.0,-0.013927303264397839,validation,0.7860355955013201,0.7916666666666666,3,0.4710800066267062,0,1
2021-09-10,AMGN,184.02069091796875,Pharma,0.0,-0.03298239300562689,validation,-0.031688659592328805,0.041666666666666664,3,0.5291444034349347,1,0
2021-09-10,PFE,35.60342025756836,Pharma,0.0,-0.07742941532630265,validation,0.424861235435958,0.5416666666666666,3,0.4927752170778386,0,1
2021-09-10,WFC,39.47201156616211,Financials,1.0,0.06654601742996835,validation,1.1456255672019355,0.9583333333333334,3,0.4535455817833206,0,0
2021-09-10,CRM,252.8260040283203,Technology,1.0,0.06434678066932009,validation,-0.022276057055150678,0.125,3,0.5248587424387454,1,1
2021-09-10,JNJ,145.9261474609375,Pharma,0.0,-0.04024670682525988,validation,0.20616481930553876,0.2916666666666667,3,0.5107203473602534,1,0
2021-09-10,ABBV,89.42607879638672,Pharma,1.0,0.03430827159719674,validation,0.33129485215311116,0.375,3,0.5033538912494768,1,1
2021-09-10,AMZN,173.45750427246094,Technology,0.0,-0.06423764643559293,validation,0.03684915707118286,0.16666666666666666,3,0.5212736328745649,1,0
2021-09-10,AVGO,45.350730895996094,Technology,0.0,-0.004420014700016517,validation,0.39981291734016566,0.4583333333333333,3,0.4974877523340619,0,1
2021-09-10,LLY,229.2005615234375,Pharma,0.0,-0.024342235958353498,validation,0.8311009684172794,0.8333333333333334,3,0.4678722347000832,0,1
2021-09-10,C,58.95113754272461,Financials,1.0,0.030329396473475878,validation,0.5105014735385858,0.5833333333333334,3,0.4884805741801133,0,0
2021-09-10,SCHW,67.01447296142578,Financials,1.0,0.07236853265261955,validation,1.179533625159054,1.0,3,0.45064863273860806,0,0
2021-09-10,MS,88.85358428955078,Financials,0.0,-0.061088506250570496,validation,1.115933949827705,0.9166666666666666,3,0.4563346747646702,0,1
2021-09-10,GILD,59.148109436035156,Pharma,0.0,-0.031325502301725816,validation,0.1437326345138421,0.20833333333333334,3,0.516420843222978,1,0
2021-09-10,AXP,149.36070251464844,Financials,1.0,0.09558448314313228,validation,0.6828924300431936,0.7083333333333334,3,0.4778469714814225,0,0
2021-09-10,MRK,62.84214401245117,Pharma,1.0,0.09797603949230327,validation,-0.025759761530920522,0.08333333333333333,3,0.5269697309770998,1,1
2021-09-13,NVDA,22.10527229309082,Technology,0.0,-0.06685647018097107,validation,0.6377422594550297,0.625,4,0.5175140020818375,1,0
2021-09-13,JNJ,144.9036407470703,Pharma,0.0,-0.04891451028046934,validation,0.20872267914996656,0.2916666666666667,4,0.5271279594250544,1,0
2021-09-13,MS,89.5224380493164,Financials,0.0,-0.0634101152346388,validation,1.12948419032807,0.9166666666666666,4,0.5182056770711391,1,0
2021-09-13,LLY,227.72679138183594,Pharma,0.0,-0.02176838677156312,validation,0.8094892163118497,0.7916666666666666,4,0.509350743481722,1,0
2021-09-13,MRK,62.61114501953125,Pharma,1.0,0.09733886321297769,validation,-0.025618257364771968,0.08333333333333333,4,0.5357639867011442,1,1
2021-09-13,AMGN,186.57762145996094,Pharma,0.0,-0.06842915641897551,validation,-0.04183705501721291,0.041666666666666664,4,0.5398773149469113,1,0
2021-09-13,CRM,249.7885284423828,Technology,1.0,0.09794961448407813,validation,0.02176048802422237,0.125,4,0.5340781713886373,1,1
2021-09-13,BMY,51.20308303833008,Pharma,0.0,-0.08458008187844057,validation,0.1701654542627793,0.25,4,0.5295059913484766,1,0
2021-09-13,C,59.756141662597656,Financials,1.0,0.0017017865758672812,validation,0.5055679993914315,0.5833333333333334,4,0.5125646311329324,1,1
2021-09-13,AXP,151.9296417236328,Financials,1.0,0.08606306746674486,validation,0.6522070558445277,0.7083333333333334,4,0.5078374146863386,1,1
2021-09-13,AMZN,172.85850524902344,Technology,0.0,-0.06069706769369698,validation,0.06009844063839509,0.16666666666666666,4,0.5316856889239855,1,0
2021-09-13,JPM,141.06146240234375,Financials,1.0,0.0406386255160307,validation,0.6462774156223123,0.6666666666666666,4,0.5127789662928638,1,1
2021-09-13,MSFT,285.5660095214844,Technology,0.0,-0.013839060673409453,validation,0.43072299866601926,0.5,4,0.5175094159087824,1,0
2021-09-13,SCHW,67.43661499023438,Financials,1.0,0.07483653224350295,validation,1.1663532880574539,1.0,4,0.5102856628553426,1,1
2021-09-13,AAPL,145.99253845214844,Technology,0.0,-0.053761238123796296,validation,0.3379254210625189,0.3333333333333333,4,0.5318324388524504,1,0
2021-09-13,META,373.2324523925781,Technology,0.0,-0.14007601421446025,validation,0.36022671007124063,0.4166666666666667,4,0.5227910153549568,1,0
2021-09-13,WFC,40.745296478271484,Financials,1.0,0.019449150300974605,validation,1.1378148260158705,0.9583333333333334,4,0.5134550249040339,1,1
2021-09-13,GS,365.93572998046875,Financials,0.0,-0.05553948792517582,validation,1.0919560200942824,0.875,4,0.5206683112135732,1,0
2021-09-13,GOOGL,141.08151245117188,Technology,0.0,-0.04133618749376755,validation,0.8102341216945323,0.8333333333333334,4,0.5040015716848238,1,0
2021-09-13,PFE,34.814659118652344,Pharma,0.0,-0.06123846129066124,validation,0.4365511233113566,0.5416666666666666,4,0.5125622822782421,1,0
2021-09-13,GILD,59.28142547607422,Pharma,0.0,-0.04358309089867807,validation,0.12872757799104662,0.20833333333333334,4,0.531657753061697,1,0
2021-09-13,BAC,36.407772064208984,Financials,1.0,0.06350743743843701,validation,0.6785406607067048,0.75,4,0.5044939146818448,1,1
2021-09-13,ABBV,90.09669494628906,Pharma,1.0,0.010141200631306857,validation,0.353017121808862,0.375,4,0.5276220132056237,1,1
2021-09-13,AVGO,45.424461364746094,Technology,0.0,-0.0202893073838466,validation,0.39165754302881006,0.4583333333333333,4,0.5198519801136123,1,0
2021-09-14,MS,87.38729858398438,Financials,0.0,-0.032774409142355854,validation,1.0815596091854096,0.9583333333333334,4,0.5090468739278651,1,0
2021-09-14,NVDA,22.195085525512695,Technology,0.0,-0.0585831775678447,validation,0.5696992169218547,0.625,4,0.5121841787052446,1,0
2021-09-14,WFC,41.00351333618164,Financials,0.0,0.0,validation,1.059393403615294,0.875,4,0.5181192462636891,1,0
2021-09-14,ABBV,89.25843811035156,Pharma,1.0,0.01925220710125619,validation,0.35094753613792107,0.375,4,0.5274602498451727,1,1
2021-09-14,BMY,50.60826873779297,Pharma,0.0,-0.07365858791523472,validation,0.1659201563131798,0.25,4,0.5291743057834878,1,0
2021-09-14,JPM,138.59959411621094,Financials,1.0,0.03119693880932428,validation,0.6056195984798622,0.7083333333333334,4,0.5041854991342113,1,1
2021-09-14,MSFT,288.2582702636719,Technology,0.0,-0.01160799254937217,validation,0.4360185538483081,0.5,4,0.5179240665027602,1,0
2021-09-14,MRK,62.24857711791992,Pharma,1.0,0.094855029304592,validation,-0.020292526949339806,0.08333333333333333,4,0.5361793631860097,1,1
2021-09-14,AXP,150.0758514404297,Financials,1.0,0.060568025344442944,validation,0.568933429949197,0.5833333333333334,4,0.5175279454658606,1,1
2021-09-14,AMZN,172.5,Technology,0.0,-0.04803475642549815,validation,0.06155395084016102,0.16666666666666666,4,0.5317993411087613,1,0
2021-09-14,AVGO,45.68937683105469,Technology,0.0,-0.026511714427984612,validation,0.3874741887768909,0.4583333333333333,4,0.5195245134014925,1,0
2021-09-14,C,58.2817268371582,Financials,1.0,0.02151790737197201,validation,0.5727404399092462,0.6666666666666666,4,0.5070159854979883,1,1
2021-09-14,CRM,250.0441131591797,Technology,1.0,0.11809579986832164,validation,0.01994806189372822,0.125,4,0.5339367343924029,1,1
2021-09-14,AMGN,185.99220275878906,Pharma,0.0,-0.05753551201331342,validation,-0.04924986691902766,0.041666666666666664,4,0.5392997933973255,1,0
